"growth_scenario","ops_scenario","horizon","club_teams","avg_players","connect_adoption_pct","avg_tuition_yen","ainy_tuition_fee_pct","ainy_fee_display","club_mrr_per_team_yen","paying_parents_per_team","tuition_gmv_per_team_yen","club_mrr_total_yen","stripe_cost_club_yen","club_revenue_net_yen","tuition_gmv_total_yen","ainy_tuition_revenue_yen","connect_platform_cost_yen","team_total_fee_pct_display","gross_profit_monthly_yen","gross_profit_annual_yen","gross_profit_per_team_yen","ainy_rev_share_of_gross_pct"
"標準","標準","12ヶ月","60","18","0.65","5000","0","0.0%","11000","11.7","58500","660000","23760","636240","3510000","0","12000","3.6%","624240","7490880","10404","0"
"標準","標準","12ヶ月","60","18","0.65","5000","0.014","1.4%","11000","11.7","58500","660000","23760","636240","3510000","49140","12000","5.0%","673380","8080560","11223","7.3"
"標準","標準","12ヶ月","60","18","0.65","5000","0.025","2.5%","11000","11.7","58500","660000","23760","636240","3510000","87750","12000","6.1%","711990","8543880","11866","12.3"
"標準","標準","12ヶ月","60","18","0.65","5000","0.05","5.0%","11000","11.7","58500","660000","23760","636240","3510000","175500","12000","8.6%","799740","9596880","13329","21.9"
"標準","標準","12ヶ月","60","18","0.65","5000","0.07","7.0%","11000","11.7","58500","660000","23760","636240","3510000","245700","12000","10.6%","869940","10439280","14499","28.2"
