"growth_scenario","ops_scenario","horizon","club_teams","avg_players","connect_adoption_pct","avg_tuition_yen","ainy_tuition_fee_pct","ainy_fee_display","club_mrr_per_team_yen","paying_parents_per_team","tuition_gmv_per_team_yen","club_mrr_total_yen","stripe_cost_club_yen","club_revenue_net_yen","tuition_gmv_total_yen","ainy_tuition_revenue_yen","connect_platform_cost_yen","team_total_fee_pct_display","gross_profit_monthly_yen","gross_profit_annual_yen","gross_profit_per_team_yen","ainy_rev_share_of_gross_pct"
"積極","標準","12ヶ月","120","18","0.65","5000","0.05","5.0%","11000","11.7","58500","1320000","47520","1272480","7020000","351000","24000","8.6%","1599480","19193760","13329","21.9"
"積極","標準","12ヶ月","120","18","0.65","5000","0.07","7.0%","11000","11.7","58500","1320000","47520","1272480","7020000","491400","24000","10.6%","1739880","20878560","14499","28.2"
"積極","高稼働","6ヶ月","40","24","0.8","6000","0","0.0%","14000","19.2","115200","560000","20160","539840","4608000","0","8000","3.6%","531840","6382080","13296","0"
"積極","高稼働","6ヶ月","40","24","0.8","6000","0.014","1.4%","14000","19.2","115200","560000","20160","539840","4608000","64512","8000","5.0%","596352","7156224","14909","10.8"
"積極","高稼働","6ヶ月","40","24","0.8","6000","0.025","2.5%","14000","19.2","115200","560000","20160","539840","4608000","115200","8000","6.1%","647040","7764480","16176","17.8"
"積極","高稼働","6ヶ月","40","24","0.8","6000","0.05","5.0%","14000","19.2","115200","560000","20160","539840","4608000","230400","8000","8.6%","762240","9146880","19056","30.2"
"積極","高稼働","6ヶ月","40","24","0.8","6000","0.07","7.0%","14000","19.2","115200","560000","20160","539840","4608000","322560","8000","10.6%","854400","10252800","21360","37.8"
"積極","高稼働","12ヶ月","120","24","0.8","6000","0","0.0%","14000","19.2","115200","1680000","60480","1619520","13824000","0","24000","3.6%","1595520","19146240","13296","0"
"積極","高稼働","12ヶ月","120","24","0.8","6000","0.014","1.4%","14000","19.2","115200","1680000","60480","1619520","13824000","193536","24000","5.0%","1789056","21468672","14909","10.8"
"積極","高稼働","12ヶ月","120","24","0.8","6000","0.025","2.5%","14000","19.2","115200","1680000","60480","1619520","13824000","345600","24000","6.1%","1941120","23293440","16176","17.8"
"積極","高稼働","12ヶ月","120","24","0.8","6000","0.05","5.0%","14000","19.2","115200","1680000","60480","1619520","13824000","691200","24000","8.6%","2286720","27440640","19056","30.2"
"積極","高稼働","12ヶ月","120","24","0.8","6000","0.07","7.0%","14000","19.2","115200","1680000","60480","1619520","13824000","967680","24000","10.6%","2563200","30758400","21360","37.8"
